Date,Train UID,Departure Time,Arrival Time,Delay,Delay_Low,Delayed Arrival Time_Low,Delay_Medium,Delayed Arrival Time_Medium,Delay_High,Delayed Arrival Time_High
02/12/2023,C18052,05:45:00,10:07:00,22,2.2,10:09:12,6.6,10:13:36,15.399999999999999,10:22:24
02/12/2023,C18055,10:25:00,14:42:00,47,4.7,14:46:42,14.1,14:56:06,32.9,15:14:54
02/12/2023,C18058,12:18:00,16:41:00,29,2.9000000000000004,16:43:54,8.7,16:49:42,20.299999999999997,17:01:18
02/12/2023,C18061,15:48:00,20:15:00,17,1.7000000000000002,20:16:42,5.1,20:20:06,11.899999999999999,20:26:54
02/12/2023,C18064,18:27:00,22:58:00,39,3.9000000000000004,23:01:54,11.7,23:09:42,27.299999999999997,23:25:18
02/12/2023,G23530,06:15:00,11:09:00,35,3.5,11:12:30,10.5,11:19:30,24.5,11:33:30
02/12/2023,G23532,07:00:00,11:28:00,35,3.5,11:31:30,10.5,11:38:30,24.5,11:52:30
02/12/2023,G23534,07:30:00,12:13:00,23,2.3000000000000003,12:15:18,6.8999999999999995,12:19:54,16.099999999999998,12:29:06
02/12/2023,G23536,08:00:00,12:26:00,6,0.6000000000000001,12:26:36,1.7999999999999998,12:27:48,4.199999999999999,12:30:12
02/12/2023,G23538,08:30:00,13:11:00,26,2.6,13:13:36,7.8,13:18:48,18.2,13:29:12
02/12/2023,G23541,09:00:00,13:27:00,7,0.7000000000000001,13:27:42,2.1,13:29:06,4.8999999999999995,13:31:54
02/12/2023,G23544,09:30:00,14:11:00,28,2.8000000000000003,14:13:48,8.4,14:19:24,19.599999999999998,14:30:36
02/12/2023,G23548,10:30:00,15:11:00,2,0.2,15:11:12,0.6,15:11:36,1.4,15:12:24
02/12/2023,G23551,11:00:00,15:27:00,41,4.1000000000000005,15:31:06,12.299999999999999,15:39:18,28.7,15:55:42
02/12/2023,G23556,11:30:00,16:14:00,42,4.2,16:18:12,12.6,16:26:36,29.4,16:43:24
02/12/2023,G23558,12:30:00,17:10:00,47,4.7,17:14:42,14.1,17:24:06,32.9,17:42:54
02/12/2023,G23561,13:00:00,17:27:00,55,5.5,17:32:30,16.5,17:43:30,38.5,18:05:30
02/12/2023,G23565,13:30:00,18:13:00,56,5.6000000000000005,18:18:36,16.8,18:29:48,39.199999999999996,18:52:12
02/12/2023,G23567,14:30:00,19:11:00,11,1.1,19:12:06,3.3,19:14:18,7.699999999999999,19:18:42
02/12/2023,G23569,15:00:00,19:29:00,37,3.7,19:32:42,11.1,19:40:06,25.9,19:54:54
02/12/2023,G23572,15:30:00,20:13:00,11,1.1,20:14:06,3.3,20:16:18,7.699999999999999,20:20:42
02/12/2023,G23575,16:00:00,20:25:00,32,3.2,20:28:12,9.6,20:34:36,22.4,20:47:24
02/12/2023,G23577,16:30:00,21:14:00,0,0,21:14:00,0,21:14:00,0,21:14:00
02/12/2023,G23580,17:00:00,21:23:00,52,5.2,21:28:12,15.6,21:38:36,36.4,21:59:24
02/12/2023,G23583,17:30:00,21:59:00,29,2.9000000000000004,22:01:54,8.7,22:07:42,20.299999999999997,22:19:18
02/12/2023,G23586,18:00:00,22:38:00,5,0.5,22:38:30,1.5,22:39:30,3.5,22:41:30
02/12/2023,C18061,15:48:00,20:15:00,39,3.9000000000000004,20:18:54,11.7,20:26:42,27.299999999999997,20:42:18
02/12/2023,C18064,18:27:00,22:58:00,42,4.2,23:02:12,12.6,23:10:36,29.4,23:27:24
02/12/2023,N01870,07:30:00,12:22:00,26,2.6,12:24:36,7.8,12:29:48,18.2,12:40:12
02/12/2023,N01871,15:00:00,19:25:00,21,2.1,19:27:06,6.3,19:31:18,14.7,19:39:42
02/12/2023,N01874,10:00:00,14:24:00,58,5.800000000000001,14:29:48,17.4,14:41:24,40.599999999999994,15:04:36
02/12/2023,N01875,12:00:00,16:28:00,1,0.1,16:28:06,0.3,16:28:18,0.7,16:28:42
02/12/2023,N01876,14:00:00,18:29:00,44,4.4,18:33:24,13.2,18:42:12,30.799999999999997,18:59:48
03/12/2023,C18053,08:52:00,13:10:00,11,1.1,13:11:06,3.3,13:13:18,7.699999999999999,13:17:42
03/12/2023,C18056,10:23:00,14:42:00,53,5.300000000000001,14:47:18,15.899999999999999,14:57:54,37.099999999999994,15:19:06
03/12/2023,C18059,12:13:00,16:35:00,47,4.7,16:39:42,14.1,16:49:06,32.9,17:07:54
03/12/2023,C18062,16:24:00,20:47:00,34,3.4000000000000004,20:50:24,10.2,20:57:12,23.799999999999997,21:10:48
03/12/2023,C18065,19:24:00,23:35:00,15,1.5,23:36:30,4.5,23:39:30,10.5,23:45:30
03/12/2023,G23539,08:48:00,13:09:00,51,5.1000000000000005,13:14:06,15.299999999999999,13:24:18,35.699999999999996,13:44:42
03/12/2023,G23542,09:00:00,13:18:00,50,5,13:23:00,15,13:33:00,35,13:53:00
03/12/2023,G23545,09:30:00,14:18:00,12,1.2000000000000002,14:19:12,3.5999999999999996,14:21:36,8.399999999999999,14:26:24
03/12/2023,G23546,10:03:00,14:35:00,17,1.7000000000000002,14:36:42,5.1,14:40:06,11.899999999999999,14:46:54
03/12/2023,G23549,10:30:00,15:10:00,40,4,15:14:00,12,15:22:00,28,15:38:00
03/12/2023,G23552,11:00:00,15:16:00,38,3.8000000000000003,15:19:48,11.4,15:27:24,26.599999999999998,15:42:36
03/12/2023,G23553,11:22:00,15:59:00,52,5.2,16:04:12,15.6,16:14:36,36.4,16:35:24
03/12/2023,G23555,11:30:00,16:09:00,45,4.5,16:13:30,13.5,16:22:30,31.499999999999996,16:40:30
03/12/2023,G23559,12:30:00,17:09:00,53,5.300000000000001,17:14:18,15.899999999999999,17:24:54,37.099999999999994,17:46:06
03/12/2023,G23562,13:00:00,17:21:00,7,0.7000000000000001,17:21:42,2.1,17:23:06,4.8999999999999995,17:25:54
03/12/2023,G23564,13:30:00,18:09:00,35,3.5,18:12:30,10.5,18:19:30,24.5,18:33:30
